user_id,product_id,timestamp,session_id,interaction_type,device_type,location,price,discount,product_category,brand,user_age,user_gender,loyalty_score,previous_purchase_count,avg_purchase_value,search_keywords,rating,purchase
U0861,P1416,2024-06-25 08:32:00,S0940,view,mobile,Los Angeles,292.99,5,Beauty,Apple,46,Male,19,18,195.46,laptop,,0
U3773,P1710,2024-01-28 10:19:00,S5346,click,mobile,Miami,147.48,5,Beauty,LG,38,Male,7,2,11.11,makeup kit,5.0,0
U3093,P0167,2024-05-22 16:16:00,S8366,add_to_cart,mobile,Los Angeles,400.47,30,Electronics,Puma,39,Male,20,49,261.12,blender,,0
U0467,P0402,2024-04-19 14:19:00,S0208,view,tablet,New York,476.52,20,Apparel,LG,28,Female,63,36,24.81,laptop,,0
U4427,P0733,2024-08-09 23:05:00,S4254,view,desktop,Chicago,186.98,30,Beauty,Nike,44,Female,22,41,36.16,running shoes,,0
U3445,P1732,2024-04-13 20:17:00,S5939,view,mobile,Los Angeles,419.24,5,Apparel,Samsung,51,Female,75,8,134.17,blender,,0
U3172,P0273,2024-09-07 18:30:00,S5025,click,mobile,Miami,119.19,10,Home,Samsung,47,Female,13,43,157.46,basketball,2.0,0
U2920,P0678,2024-09-30 18:46:00,S7242,view,mobile,Chicago,148.24,25,Sports,Samsung,54,Female,18,19,127.6,sofa,3.0,0
U0131,P0326,2024-10-26 02:12:00,S3497,click,mobile,Miami,491.25,30,Home,Nike,45,Male,28,8,50.25,smartphone,,0
U1686,P0254,2024-01-18 00:09:00,S3727,purchase,desktop,Miami,368.34,20,Sports,Adidas,28,Female,27,9,68.42,smartphone,,1
U0770,P0471,2024-05-11 08:53:00,S2561,view,mobile,Chicago,224.33,15,Beauty,LG,21,Female,91,8,228.59,wireless earphones,2.0,0
U2392,P1416,2024-02-25 10:37:00,S3487,view,desktop,Houston,338.27,20,Electronics,Adidas,42,Male,63,29,227.19,running shoes,4.0,0
U2434,P0696,2024-09-07 06:46:00,S0568,view,mobile,Houston,166.14,25,Beauty,Samsung,51,Male,27,2,288.21,smartphone,4.0,0
U1185,P1596,2024-09-24 20:51:00,S2797,click,mobile,Miami,433.64,15,Sports,Samsung,41,Male,35,15,250.72,makeup kit,,0
U4556,P0616,2024-04-20 18:15:00,S2043,click,mobile,Chicago,387.75,25,Apparel,Sony,59,Male,81,32,26.85,basketball,,0
U3386,P0179,2024-10-30 18:47:00,S2492,view,mobile,Houston,365.93,30,Electronics,Apple,35,Female,62,4,188.44,sofa,,0
U4118,P0396,2024-09-22 00:41:00,S0817,add_to_cart,mobile,Los Angeles,235.47,0,Apparel,Nike,61,Male,21,16,22.63,laptop,,0
U4844,P0081,2024-12-30 00:23:00,S9601,view,mobile,Miami,321.39,0,Apparel,Apple,49,Male,65,7,153.26,sofa,,0
U2905,P1517,2024-10-09 20:53:00,S1743,view,desktop,New York,283.92,15,Electronics,LG,19,Male,80,29,85.63,wireless earphones,1.0,0
U0475,P1039,2024-08-28 08:50:00,S8624,add_to_cart,mobile,Houston,8.61,5,Apparel,LG,42,Female,49,43,192.64,sofa,4.0,0
U1083,P1668,2024-04-17 03:49:00,S0866,add_to_cart,mobile,Houston,262.23,15,Electronics,Nike,31,Female,3,43,59.32,smartphone,,0
U2559,P0940,2024-09-27 02:00:00,S5618,view,desktop,Houston,348.72,0,Sports,Sony,19,Male,56,25,281.6,sofa,3.0,0
U2048,P1041,2024-02-20 12:15:00,S0450,add_to_cart,mobile,Los Angeles,464.76,15,Electronics,LG,21,Female,30,1,126.33,basketball,,0
U2748,P0027,2024-03-16 05:41:00,S8346,click,mobile,New York,483.13,0,Apparel,Samsung,26,Female,88,45,295.79,smartphone,,0
U0976,P1391,2024-03-14 23:54:00,S7615,click,mobile,Houston,253.31,10,Home,Samsung,60,Male,94,39,221.04,laptop,,0
U1807,P1967,2024-04-29 05:14:00,S9948,view,mobile,Los Angeles,355.27,20,Beauty,Samsung,54,Male,100,24,137.67,makeup kit,4.0,0
U0190,P0035,2024-05-26 07:11:00,S2665,view,mobile,New York,438.0,15,Electronics,LG,19,Male,60,21,198.83,laptop,1.0,0
U2735,P1949,2024-10-20 21:40:00,S2689,view,tablet,Los Angeles,438.5,30,Sports,Puma,25,Female,65,2,227.62,running shoes,,0
U3006,P1933,2024-12-21 16:15:00,S0270,view,desktop,Chicago,202.67,15,Beauty,LG,52,Male,30,14,271.39,sofa,5.0,0
U4659,P1304,2024-08-06 05:47:00,S8181,view,desktop,Miami,222.43,30,Apparel,Nike,42,Female,56,2,65.93,makeup kit,,0
U1900,P0786,2024-09-14 20:49:00,S7432,click,mobile,Chicago,258.14,5,Beauty,LG,40,Male,53,19,27.88,basketball,3.0,0
U1268,P1251,2024-12-13 17:45:00,S3451,click,desktop,New York,280.81,5,Beauty,Adidas,24,Other,28,4,139.3,blender,,0
U1529,P0219,2024-09-08 07:54:00,S2251,click,desktop,Los Angeles,253.47,20,Electronics,Puma,34,Male,76,13,209.01,smartphone,2.0,0
U3203,P0364,2024-03-27 06:38:00,S7275,click,desktop,Miami,265.85,25,Home,LG,45,Male,67,47,224.28,wireless earphones,,0
U3557,P1470,2024-05-11 15:23:00,S6838,view,desktop,Chicago,482.77,5,Sports,Nike,56,Male,71,4,104.38,smartphone,,0
U3891,P0142,2024-05-19 01:01:00,S8428,view,mobile,Miami,467.53,10,Home,Apple,41,Female,52,28,143.25,laptop,5.0,0
U0647,P0766,2024-10-16 13:02:00,S3119,purchase,mobile,Houston,14.53,5,Electronics,Samsung,25,Female,89,31,187.01,running shoes,,1
U2889,P0015,2024-08-28 22:26:00,S2125,view,mobile,Houston,228.8,10,Home,LG,32,Female,3,6,258.2,wireless earphones,,0
U2436,P0832,2024-06-26 06:11:00,S3193,add_to_cart,tablet,Chicago,248.47,15,Sports,Sony,61,Female,86,14,44.95,running shoes,4.0,0
U0601,P1561,2024-09-07 23:53:00,S3073,click,mobile,New York,346.85,5,Home,Nike,42,Female,81,46,252.75,sofa,4.0,0
U2364,P1289,2024-10-30 23:36:00,S7591,add_to_cart,mobile,New York,464.94,15,Apparel,Adidas,58,Other,47,2,83.19,sofa,5.0,0
U2062,P1565,2024-12-25 13:35:00,S0045,view,mobile,Houston,53.45,10,Apparel,Nike,56,Female,21,36,75.54,makeup kit,4.0,0
